name,distance,mass,radius
CT Chamaeleontis,538.0,1.5491050245648003e-05,0.023232515171799997
HN Pegasi,58.3,2.5514670992832003e-05,0.010665836510689999
COROT-15,,5.77725050337696e-05,0.01182746226928
DT Virginis,37.55,1.1390478121799999e-05,0.011616257585899998
GQ Lupi,400.0,0.0,0.01900842150419999
COROT-3,2220.0,1.973742048945504e-05,0.010665836510689999
