name,distance,mass,radius
CT Chamaeleontis,538.0,0.016227996,0.2260786
HN Pegasi,58.3,0.026728464,0.10379063
COROT-15,,0.0605208792,0.11509456
DT Virginis,37.55,0.01193235,0.1130393
GQ Lupi,400.0,0.0,0.18497339999999998
COROT-3,2220.0,0.02067637608,0.10379063
